epoch,lr,train_loss,train_l_se,train_l_r,train_l_conv,train_l_dyn,train_l_sym,train_gnorm
70,0.001,0.022944273,0.019593498,0.014107449,0.0018019613,0.0,0.019220145,0.3285697
71,0.001,0.023744425,0.01961207,0.0,0.045672264,0.0,0.036756326,0.3484574
72,0.001,0.022816064,0.019554984,0.0,0.14604494,0.0,0.018006295,0.3290329
73,0.001,0.021658344,0.019630866,0.0,0.018177567,0.0,0.018457053,0.30287072
74,0.001,0.024694098,0.020171871,0.0094599,0.0028520764,0.0,0.035477135,0.26294276
75,0.001,0.021539876,0.019637914,0.0,0.0011477652,0.0,0.018904842,0.20407695
76,0.001,0.02097306,0.019136282,0.0,0.00019701527,0.0,0.01834809,0.18108436
77,0.001,0.024557732,0.019276502,0.012886373,0.0064497376,0.0,0.03928096,0.325048
78,0.001,0.021270445,0.019188497,0.0,0.013205765,0.0,0.01949891,0.24446513
79,0.001,0.021617081,0.019647637,0.0,0.013923333,0.0,0.0183021,0.30775315
80,0.001,0.0219236,0.019750046,0.0,0.006044489,0.0,0.02113108,0.26494208
81,0.001,0.024404343,0.01964629,0.006949763,0.00517671,0.0,0.040113054,0.33789015
82,0.001,0.021951415,0.019991131,0.0,0.00476061,0.0,0.019126762,0.337555
83,0.001,0.021090005,0.019032773,0.0,0.0060049808,0.0,0.019971808,0.2487559
84,0.001,0.02318997,0.01913942,0.0,0.009417938,0.0,0.03956369,0.230438
85,0.001,0.022173014,0.01879126,0.012426772,0.014770856,0.0,0.01991366,0.29181463
86,0.001,0.02106047,0.019044492,0.0,0.008801189,0.0,0.01927966,0.31528103
87,0.001,0.02396206,0.019848747,0.0,0.007612291,0.0,0.040371913,0.38683355
88,0.001,0.022665905,0.020680198,0.0,0.011233316,0.0,0.018733727,0.4232612
89,0.001,0.021839628,0.019041706,0.007467235,0.007684958,0.0,0.019743472,0.26612094
90,0.001,0.021301933,0.019283982,0.0,0.0054620053,0.0,0.019633293,0.2870393
91,0.001,0.02318021,0.018977119,0.0,0.015513763,0.0,0.040479522,0.2666228
92,0.001,0.021026207,0.018948589,0.0,0.0044751554,0.0,0.020328697,0.26993394
93,0.001,0.022032388,0.019429984,0.0073010325,0.0039924467,0.0,0.018323742,0.22726324
94,0.001,0.022919824,0.01878546,0.0,0.013620584,0.0,0.039981566,0.25019687
95,0.001,0.021312177,0.019086791,0.0,0.009545149,0.0,0.02129934,0.3207522
