s11,s22,s12,r_calc,theta_rad,theta_pi_coeff,phi_rad,phi_pi_coeff,se_target
0.05914893,-0.4037492,-0.51948905,0.6605913,4.8578534,1.5463027,2.4757557,0.7880575,1.0
0.7837615,0.025037266,-0.36729383,0.8659178,0.031934146,0.010164954,2.0088382,0.639433,1.0
0.5746898,-0.26969615,0.383842,0.7418484,5.844406,1.8603323,1.0269713,0.32689512,1.0
-0.472924,0.64504445,0.13565114,0.8112586,2.2034357,0.7013753,1.4027965,0.446524,1.0
-0.25433144,-1.080558,-0.11906552,1.1164527,4.481226,1.4264185,1.6776458,0.53401124,1.0
-0.9463196,0.06425915,-0.11480441,0.9554214,3.0737925,0.9784185,1.6912484,0.5383411,1.0
-1.1244906,-0.5465101,0.13088557,1.2570933,3.5939832,1.1440003,1.4664897,0.46679816,1.0
0.6174889,0.8205935,0.38817573,1.0978827,0.92570317,0.29466045,1.209414,0.38496843,1.0
0.18039374,-0.65844953,-0.37198663,0.7774778,4.979795,1.5851179,2.0696886,0.65880233,1.0
0.5486802,0.20042868,-0.5062113,0.7729628,0.35023284,0.111482576,2.2848432,0.7272882,1.0
0.24756327,-0.23464906,0.5245829,0.6257276,5.524562,1.7585226,0.57653475,0.18351671,1.0
-0.38332656,0.61171776,0.28540874,0.77627057,2.1305737,0.67818266,1.1942978,0.3801568,1.0
-0.15050706,-0.9522622,-0.26699966,1.0003722,4.5556335,1.4501032,1.8409716,0.5859994,1.0
0.23516314,1.0525919,-0.1676099,1.0914873,1.3509926,0.43003428,1.7249675,0.5490742,1.0
0.44875845,-0.6593534,0.15053077,0.8116591,5.3099785,1.6902186,1.3842558,0.44062227,1.0
-0.43845892,0.18790805,0.47960207,0.676442,2.7367065,0.8711207,0.78270733,0.24914348,1.0
-0.51464236,-0.010395523,-0.49678472,0.71537393,3.1617894,1.0064288,2.3384385,0.74434805,1.0
-0.08303557,0.7576998,-0.344519,0.83647907,1.6799498,0.5347446,1.9952995,0.63512355,1.0
-0.53519267,-0.95170915,0.3251494,1.1392558,4.2001143,1.3369379,1.2813673,0.40787187,1.0
1.0652854,0.91771734,0.01405309,1.4061421,0.7111186,0.22635607,1.5608021,0.49681872,1.0
0.84082633,-0.26252192,-0.03345575,0.88149077,5.9805565,1.9036702,1.608759,0.5120839,1.0
1.1482037,0.5244134,-0.05401337,1.263447,0.4284324,0.13637426,1.6135602,0.51361215,1.0
0.9698478,-0.044012215,0.07017377,0.9733787,6.237836,1.9855648,1.4986408,0.47703215,1.0
-0.1845627,0.7371044,0.30906934,0.820311,1.8161409,0.57809556,1.1844885,0.3770344,1.0
-0.6914274,-0.96539193,-0.29294196,1.223057,4.0908637,1.3021623,1.8126639,0.5769888,1.0
-0.38604853,0.34899116,-0.44513828,0.6848185,2.4065673,0.7660341,2.2783928,0.7252349,1.0
-0.67685586,-0.2304714,0.46358925,0.85215366,3.4697819,1.1044658,0.9955748,0.3169013,1.0
0.1342926,0.99366826,0.20658432,1.0237617,1.4364619,0.45724002,1.3676118,0.43532434,1.0
0.4023366,-0.6776347,-0.18823686,0.81024486,5.2481904,1.6705508,1.8052596,0.5746319,1.0
-0.45818955,0.57937706,-0.25094497,0.780121,2.2399216,0.71298915,1.8982937,0.60424566,1.0
-0.31029594,-1.0291011,0.2338042,1.0999986,4.419537,1.4067823,1.356613,0.43182334,1.0
0.34396085,0.03203093,0.5451857,0.6454165,0.09285597,0.029556971,0.564785,0.17977664,1.0
0.17001796,-0.08765749,-0.562289,0.5939351,5.807153,1.8484743,2.8136842,0.8956235,1.0
0.50280875,0.76178294,-0.428136,1.0081816,0.9873941,0.3142973,2.0093846,0.63960695,1.0
0.11769333,-0.6400759,0.40870467,0.76849747,4.894232,1.5578823,1.0100446,0.32150716,1.0
-0.79559505,0.31380627,0.07935476,0.8589197,2.7658978,0.8804126,1.4782754,0.47054967,1.0
-0.9880076,-0.98254114,-0.09867816,1.3968835,3.9242167,1.2491169,1.6414969,0.5225047,1.0
0.93842024,1.0380267,-0.07296876,1.4012339,0.8357523,0.26602823,1.6228945,0.5165834,1.0
0.2785811,-0.81805617,0.09180004,0.8690516,5.0406117,1.6044765,1.4649665,0.46631333,1.0
-0.62144655,0.08400607,0.4299387,0.76032895,3.0072289,0.9572306,0.96980053,0.30869707,1.0
-0.8059529,-0.47853923,-0.41114485,1.0235233,3.6774082,1.1705554,1.984164,0.631579,1.0
-0.11223668,0.24573015,-0.54755205,0.6105683,1.9992476,0.63638026,2.6832588,0.8541078,1.0
