epoch,lr,train_loss,train_l_se,train_l_r,train_l_conv,train_l_dyn,train_l_sym,train_gnorm
71,0.001,0.008958178,0.008958178,0.0,1.2525719e-12,0.0,0.0,0.121966906
72,0.001,0.008967243,0.008967243,0.0,1.2944379e-12,0.0,0.0,0.121824875
73,0.001,0.0089832805,0.0089832805,0.0,1.1739661e-12,0.0,0.0,0.113835864
74,0.001,0.010355155,0.008991396,0.013637587,1.3186545e-12,0.0,0.0,0.089111365
75,0.001,0.009008444,0.009008444,0.0,1.3381661e-12,0.0,0.0,0.087477684
76,0.001,0.008863872,0.008863872,0.0,1.5364211e-12,0.0,0.0,0.09615647
77,0.001,0.50563806,0.009019321,0.01177761,1.1376125e-12,49.544094,1.8866415e-06,23.257618
78,0.001,0.025040865,0.009355342,0.0,1.5685523,0.0,0.0,1.3820399
79,0.001,0.34825045,0.012823482,0.0,33.5427,0.0,0.0,6.9226007
80,0.001,0.13419697,0.016693713,0.0,11.750324,0.0,0.0,3.4855855
81,0.001,0.04614208,0.018764954,0.011053969,2.6271722,0.0,0.0,1.5382856
82,0.001,0.027154423,0.01876891,0.0,0.83855116,0.0,0.0,0.9805161
83,0.001,0.02038223,0.018206067,0.0,0.21761622,0.0,0.0,0.6465995
84,0.001,0.017075699,0.016996708,0.0,0.007898936,0.0,0.0,0.36153874
85,0.001,0.017463226,0.016206931,0.012562428,1.360886e-12,0.0,5.166823e-06,0.31090102
86,0.001,0.01535497,0.01535497,0.0,9.351156e-13,0.0,0.0,0.2945185
87,0.001,0.014437903,0.014437903,0.0,1.280918e-12,0.0,0.0,0.28352043
88,0.001,0.0137284,0.0137284,0.0,1.2836549e-12,0.0,0.0,0.2577705
89,0.001,0.014118156,0.012785732,0.013324248,1.2580891e-12,0.0,0.0,0.24681237
90,0.001,0.012642632,0.012642632,0.0,1.2598783e-12,0.0,0.0,0.22878957
91,0.001,0.011997879,0.011997879,0.0,5.0369496e-13,0.0,0.0,0.2128737
92,0.001,0.011559964,0.011559964,0.0,1.915799e-12,0.0,0.0,0.20368725
93,0.001,0.0124591105,0.011211521,0.012475269,1.388768e-12,0.0,6.255527e-06,0.18495795
94,0.001,0.0107947625,0.0107947625,0.0,1.3176211e-12,0.0,0.0,0.17346397
95,0.001,0.0103792045,0.0103792045,0.0,9.0444655e-13,0.0,0.0,0.16904671
96,0.001,0.010290446,0.010290446,0.0,6.2126606e-13,0.0,0.0,0.14792636
97,0.001,0.011338825,0.009900601,0.014382254,1.3353103e-12,0.0,0.0,0.1541264
98,0.001,0.009827589,0.009827589,0.0,1.2646158e-12,0.0,0.0,0.13595058
99,0.001,0.009712278,0.009712278,0.0,1.7812015e-12,0.0,0.0,0.1142718
100,0.001,0.009531688,0.009531688,0.0,1.1778661e-12,0.0,0.0,0.114026144
101,0.001,0.010619567,0.009381225,0.012382691,8.4441894e-13,0.0,7.280519e-06,0.10371871
102,0.001,0.009298847,0.009298847,0.0,1.3609479e-12,0.0,0.0,0.110960335
103,0.001,0.009370857,0.009370857,0.0,1.1910301e-12,0.0,0.0,0.10672735
104,0.001,0.010252248,0.009131532,0.011207153,9.402305e-13,0.0,0.0,0.09317501
105,0.001,0.009286886,0.009286886,0.0,1.5868307e-12,0.0,0.0,0.11273524
106,0.001,0.0091681415,0.0091681415,0.0,1.2120315e-12,0.0,0.0,0.08232968
107,0.001,0.009260365,0.009260365,0.0,1.1463274e-12,0.0,0.0,0.075985305
108,0.001,0.010477494,0.008996753,0.014806599,8.6521003e-13,0.0,8.266284e-06,0.11545662
109,0.001,0.009174028,0.009174028,0.0,1.4429292e-12,0.0,0.0,0.10944426
110,0.001,0.009031452,0.009031452,0.0,1.3200031e-12,0.0,0.0,0.08820984
111,0.001,0.009079463,0.009079463,0.0,1.3561914e-12,0.0,0.0,0.08403941
112,0.001,0.010356963,0.009039233,0.01317729,9.634789e-13,0.0,0.0,0.080700755
113,0.001,0.00919719,0.00919719,0.0,9.753725e-13,0.0,0.0,0.09388656
114,0.001,0.009066809,0.009066809,0.0,9.730218e-13,0.0,0.0,0.087283224
115,0.001,0.008974777,0.008974777,0.0,1.0585821e-12,0.0,0.0,0.070445135
116,0.001,0.12080142,0.008828307,0.014540372,7.1051465e-13,11.051899,9.358774e-06,8.354071
117,0.001,0.00932144,0.009135903,0.0,0.018553808,0.0,0.0,0.22156936
118,0.001,0.0165633,0.009391198,0.0,0.7172102,0.0,0.0,0.84287256
119,0.001,0.01064424,0.0095105525,0.0,0.11336874,0.0,0.0,0.3766195
120,0.001,0.01108871,0.009568037,0.0135477325,0.016589807,0.0,0.0,0.18953468
121,0.001,0.009378943,0.009334392,0.0,0.0044551343,0.0,0.0,0.1635964
122,0.001,0.0096365465,0.0096365465,0.0,1.3535997e-12,0.0,0.0,0.102371015
123,0.001,0.009410221,0.009410221,0.0,1.344997e-12,0.0,0.0,0.123704664
124,0.001,0.010593577,0.00935861,0.012349124,1.0679812e-12,0.0,5.4428992e-06,0.09337043
125,0.001,0.009366563,0.009366563,0.0,1.0784795e-12,0.0,0.0,0.10417314
126,0.001,0.009291888,0.009291888,0.0,1.0299607e-12,0.0,0.0,0.08695249
127,0.001,0.010809594,0.009263263,0.015463297,1.3897094e-12,0.0,0.0,0.11493155
128,0.001,0.00908637,0.00908622,0.0,1.4967437e-05,0.0,0.0,0.095584586
129,0.001,0.009085673,0.00908435,0.0,0.00013219222,0.0,0.0,0.076903895
130,0.001,0.009178452,0.009176356,0.0,0.00020962424,0.0,0.0,0.114382185
131,0.001,0.010310268,0.0088471575,0.014603251,0.0002723807,0.0,6.246848e-06,0.0767976
132,0.001,0.009131674,0.009128689,0.0,0.00029850437,0.0,0.0,0.08442721
133,0.001,0.009148585,0.009147433,0.0,0.0001152181,0.0,0.0,0.11026244
134,0.001,0.00902936,0.009028821,0.0,5.3874483e-05,0.0,0.0,0.09463473
135,0.001,0.010604683,0.009236281,0.013683954,7.936344e-07,0.0,0.0,0.083234735
136,0.001,0.009026325,0.009026242,0.0,8.300705e-06,0.0,0.0,0.086669795
137,0.001,0.009092076,0.009091558,0.0,5.1774296e-05,0.0,0.0,0.083668225
138,0.001,0.009151356,0.009151084,0.0,2.7193511e-05,0.0,0.0,0.11256372
139,0.001,0.010579466,0.009207094,0.013721674,1.3328909e-05,0.0,7.0390442e-06,0.10388216
140,0.001,0.009169051,0.009169051,0.0,2.3155737e-12,0.0,0.0,0.100211225
141,0.001,0.00898761,0.008987368,0.0,2.4158411e-05,0.0,0.0,0.08939511
142,0.001,0.008897619,0.008897436,0.0,1.8355284e-05,0.0,0.0,0.082056865
143,0.001,0.010284056,0.008907354,0.013766577,4.409996e-06,0.0,0.0,0.09375882
144,0.001,0.009241999,0.0092415875,0.0,4.1090665e-05,0.0,0.0,0.11420855
145,0.001,0.009211883,0.009211768,0.0,1.1455521e-05,0.0,0.0,0.096944876
146,0.001,0.009143133,0.009143133,0.0,1.8196293e-12,0.0,0.0,0.11718687
147,0.001,0.01017374,0.008966805,0.012068542,9.940117e-13,0.0,8.007843e-06,0.08923925
148,0.001,0.009058869,0.009058869,0.0,1.6364498e-12,0.0,0.0,0.115879536
149,0.001,0.009088152,0.009088152,0.0,1.5311583e-12,0.0,0.0,0.07455128
150,0.001,0.008972973,0.008972973,0.0,1.576486e-09,0.0,0.0,0.10142369
151,0.001,0.010580728,0.009121642,0.014590583,2.6400796e-06,0.0,0.0,0.078497484
152,0.001,0.009086903,0.0090868445,0.0,5.798855e-06,0.0,0.0,0.077702515
153,0.001,0.008900192,0.008900192,0.0,8.1591065e-13,0.0,0.0,0.067410536
154,0.001,0.29700717,0.009042166,0.015303229,1.2199664e-12,28.643461,9.150813e-06,13.099273
155,0.001,0.0130683165,0.0130683165,0.0,7.661889e-13,0.0,0.0,0.23455474
156,0.001,0.114454426,0.018639414,0.0,9.581501,0.0,0.0,2.8380818
157,0.001,0.07484011,0.020429265,0.0,5.441085,0.0,0.0,2.1753242
158,0.001,0.044160537,0.020989858,0.015538901,2.1616793,0.0,0.0,1.3402184
159,0.001,0.028232682,0.020433992,0.0,0.77986914,0.0,0.0,0.8085183
160,0.001,0.021199036,0.01920676,0.0,0.19922747,0.0,0.0,0.54259926
161,0.001,0.018495472,0.017737437,0.0,0.07580338,0.0,0.0,0.43117052
162,0.001,0.018087365,0.016588528,0.011584582,0.03403521,0.0,2.3881728e-06,0.38197362
163,0.001,0.0155665595,0.015406372,0.0,0.016018657,0.0,0.0,0.3295239
164,0.001,0.014588901,0.014507385,0.0,0.008151523,0.0,0.0,0.3077707
165,0.001,0.01350993,0.013477253,0.0,0.0032676952,0.0,0.0,0.25911862
166,0.001,0.014309753,0.012726363,0.015717186,0.0011669608,0.0,0.0,0.22851065
167,0.001,0.012093561,0.012090356,0.0,0.00032047724,0.0,0.0,0.20426337
